component 1,component 2,component 3,class
5.2669196,6.6221094,9.0880575,GALAXY
7.4200377,3.9313936,8.54669,QSO
7.001364,2.338735,3.7398334,GALAXY
3.2948854,-2.8319352,4.5637,GALAXY
3.0751934,12.056634,8.591313,QSO
8.226859,12.586088,9.813394,GALAXY
5.393597,8.45416,4.2639947,GALAXY
2.250454,-2.9797554,2.7551699,GALAXY
6.094177,2.5832903,4.9413238,GALAXY
4.7830987,4.366729,11.80585,STAR
6.2216196,10.46255,6.172972,STAR
2.5154147,6.0422244,6.1214175,STAR
5.5562067,5.5058103,9.12106,QSO
4.098942,8.373532,8.773031,QSO
2.412771,5.594217,7.501271,STAR
8.157242,10.373549,5.828686,STAR
12.016067,4.8456926,4.0528092,GALAXY
0.27267516,3.5455966,4.647777,GALAXY
2.9176579,6.5629644,2.0512533,GALAXY
2.1463952,12.108112,7.560963,STAR
5.7237215,6.0356164,8.505955,QSO
1.2306868,2.8070428,-1.8036847,GALAXY
7.3620825,5.504219,8.040825,QSO
3.5843463,1.1011147,6.657808,GALAXY
7.2352004,11.456563,5.109887,GALAXY
1.4079021,8.781843,8.443322,STAR
0.8632029,4.2493243,-2.1652577,STAR
11.736009,4.448601,3.9687064,STAR
2.08811,9.628961,10.056402,STAR
8.292314,6.038746,3.5444055,GALAXY
4.9521594,5.6098175,8.823639,GALAXY
6.824796,5.571815,8.524386,QSO
5.983089,1.9545155,8.149689,STAR
3.9965253,5.3877196,5.708503,GALAXY
6.347115,9.266475,2.2702076,GALAXY
1.1036596,1.9400378,3.22873,QSO
3.1458733,5.1079597,0.5965475,GALAXY
1.7138469,3.4537323,8.791864,STAR
4.284415,7.6258984,9.746329,STAR
1.1313652,1.572664,-0.5725977,GALAXY
1.7079258,6.7780676,-2.4107065,GALAXY
5.206372,5.3198833,5.2597046,GALAXY
1.2926236,-0.15333638,6.657554,GALAXY
5.7555547,5.958916,8.307042,QSO
6.407667,12.222366,3.8788638,GALAXY
