component 1,component 2,class
-3.5868797,2.5762956,GALAXY
1.3251259,0.582305,GALAXY
9.905147,10.007349,QSO
-6.396787,0.51445276,STAR
8.325993,-6.631373,GALAXY
-7.234275,2.2722921,STAR
14.017315,10.2130785,QSO
-7.0933037,6.1565094,STAR
12.423478,9.647824,QSO
1.7391956,1.7434382,GALAXY
7.384611,6.1792173,QSO
4.622913,-2.943366,GALAXY
12.029084,-1.2975123,STAR
10.253052,-5.049651,GALAXY
6.282856,4.375981,QSO
16.263062,11.676413,STAR
4.0416718,3.6341026,GALAXY
-4.259401,6.235311,STAR
-1.3750112,-1.5922197,GALAXY
3.7814543,13.312448,STAR
13.469517,5.872217,GALAXY
8.429044,-1.6854383,GALAXY
9.079618,-6.3203278,GALAXY
-1.6276706,-2.8034654,GALAXY
12.374163,11.4662485,QSO
1.6797467,-3.0459852,GALAXY
8.067991,3.2099297,GALAXY
10.2688,9.044007,QSO
11.323904,8.41193,QSO
0.8375762,9.906882,GALAXY
-0.11280621,4.812848,GALAXY
9.035632,-6.281813,GALAXY
1.2870308,8.769819,GALAXY
-5.9424524,2.3891625,GALAXY
3.2373374,8.4951,GALAXY
9.011807,8.087318,STAR
11.556057,11.4053755,QSO
11.038299,3.2329338,QSO
-4.785217,1.7275854,GALAXY
-4.148689,2.8531353,GALAXY
2.5974646,-5.0319815,GALAXY
-2.9566486,11.288726,GALAXY
-1.763859,5.768958,GALAXY
-0.02873597,5.741766,GALAXY
3.9335692,-4.413056,GALAXY
-0.25394067,-0.1327432,GALAXY
7.9715533,5.5334525,QSO
3.4370198,15.002554,STAR
9.807177,1.0337685,GALAXY
2.5567052,6.7792506,GALAXY
9.937579,5.3482566,GALAXY
12.777832,13.765697,STAR
2.9681513,14.4437475,GALAXY
10.170337,2.92803,QSO
-5.9218616,2.1418316,GALAXY
12.138239,13.014653,QSO
2.5401518,8.041682,GALAXY
13.720193,2.6963708,QSO
4.475512,0.8448069,GALAXY
13.814256,9.686253,STAR
10.007995,-4.3881335,GALAXY
2.3363292,-0.7672848,GALAXY
-3.8013692,5.1295238,GALAXY
5.7315145,-2.6117334,STAR
5.0694613,5.449898,GALAXY
2.7821846,13.249755,GALAXY
7.6418157,-2.0162108,GALAXY
3.911364,5.3889832,GALAXY
4.4960103,5.349179,GALAXY
0.40235323,4.419411,GALAXY
9.14369,1.6720021,STAR
-2.7515898,-2.9891055,GALAXY
3.4460788,14.195026,GALAXY
15.566207,0.78874624,GALAXY
-5.971595,2.1957626,STAR
-0.9884824,13.739151,STAR
3.1385012,14.219405,GALAXY
4.477356,-0.27128968,STAR
8.1873045,5.33525,QSO
6.0956974,-1.6858244,GALAXY
3.985575,9.392517,GALAXY
11.171134,-0.1676524,GALAXY
-4.1506324,9.187315,GALAXY
12.39903,4.041595,QSO
0.94369316,7.362358,GALAXY
8.365149,12.4940405,QSO
-3.5990782,5.664207,GALAXY
14.429992,-0.7053186,QSO
2.129673,4.234328,STAR
2.9029665,14.705493,GALAXY
10.052557,15.51992,STAR
-1.552785,9.36047,GALAXY
7.8247643,4.818599,QSO
-0.639571,5.5677576,GALAXY
16.429554,10.766092,STAR
12.722359,13.736587,STAR
10.512877,11.930486,QSO
-1.9910033,2.6291041,GALAXY
8.97214,13.389046,STAR
0.096410885,15.055867,GALAXY
8.758539,15.115483,GALAXY
7.9920526,13.342172,QSO
0.88544196,8.96785,GALAXY
3.343505,2.00079,GALAXY
11.780988,12.690697,STAR
1.4411337,-0.938716,GALAXY
-0.13827385,10.099648,GALAXY
-1.1674887,4.7948976,GALAXY
8.160729,5.317489,STAR
2.0765085,1.6265354,GALAXY
9.2492895,3.108409,GALAXY
0.9920616,1.553512,GALAXY
8.493221,-2.89718,GALAXY
1.042502,-1.2036375,GALAXY
-1.1460103,8.5603285,STAR
11.599446,5.0586324,GALAXY
9.121636,3.8983948,QSO
0.0011881284,1.5429627,GALAXY
-6.046282,4.3684855,GALAXY
14.130508,11.535047,STAR
8.166805,3.7758129,QSO
9.126319,-1.8421693,GALAXY
-0.42993596,10.465337,GALAXY
8.028127,-2.7307153,GALAXY
14.0419235,9.871626,QSO
0.1893748,10.689141,GALAXY
2.507083,8.535238,GALAXY
1.9432319,2.754751,QSO
6.573229,-5.2307234,QSO
12.218105,1.5669752,GALAXY
-0.75678796,-3.421373,STAR
6.330518,4.037809,GALAXY
7.781165,8.652004,STAR
3.3998957,14.500848,GALAXY
10.172653,2.9609916,QSO
-2.0493343,2.2275915,GALAXY
-4.44442,1.8338381,GALAXY
6.721521,-2.0264707,GALAXY
-4.073268,9.2176695,GALAXY
6.331956,-2.93379,GALAXY
8.0499115,4.9917307,QSO
11.6989,3.262184,QSO
-1.3534154,-1.7233311,GALAXY
13.061411,10.931195,STAR
13.035961,2.9913914,GALAXY
-3.2796578,1.6467905,GALAXY
-0.65286267,8.655939,GALAXY
-2.8702202,5.8129797,GALAXY
5.135606,6.577128,GALAXY
2.2897823,0.9995237,GALAXY
1.5665609,9.117298,GALAXY
1.5273929,9.389175,GALAXY
14.379552,2.3031852,GALAXY
12.268676,9.397357,QSO
1.1336749,-2.8946977,QSO
10.001839,1.0231632,QSO
10.883855,1.9745119,QSO
1.9946462,-0.17475861,GALAXY
11.207337,3.0453334,GALAXY
-4.033661,4.4141774,GALAXY
6.5924997,-1.7514492,GALAXY
12.268465,4.613402,GALAXY
3.12702,1.7637933,GALAXY
-4.0137343,4.698519,GALAXY
0.5097751,12.222631,STAR
11.902869,14.256157,STAR
11.823642,10.168312,QSO
7.5373845,-0.4941668,STAR
5.035197,1.0874236,STAR
6.810151,-2.4591112,GALAXY
12.648307,3.402943,QSO
0.5806584,6.143697,GALAXY
4.4811077,6.9234066,GALAXY
0.25679192,-4.61708,QSO
3.4598825,6.8820767,GALAXY
7.997127,-3.1955068,GALAXY
-0.32846618,-4.7213483,GALAXY
-3.8644154,4.711016,GALAXY
0.44058615,11.230677,GALAXY
0.34220427,3.5923076,STAR
9.498298,4.498541,GALAXY
-0.5183406,1.8428168,GALAXY
-0.053405546,3.1501327,GALAXY
4.685904,-3.9280808,GALAXY
9.417532,8.848491,QSO
5.8640976,3.9625547,GALAXY
0.06554186,4.7511516,GALAXY
6.0543427,-2.817386,GALAXY
4.0775948,-0.49710554,GALAXY
7.654175,-5.100172,GALAXY
11.426073,2.183272,GALAXY
-0.652389,7.6646104,GALAXY
-3.1833215,2.3795583,GALAXY
4.427274,2.0180538,GALAXY
5.725493,8.030676,GALAXY
-0.075846754,-4.680393,GALAXY
11.322635,7.5482016,GALAXY
4.7781177,7.288377,GALAXY
0.88215643,11.555971,STAR
-0.81024665,2.0490646,GALAXY
5.1825404,-2.7228816,GALAXY
